Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2
1,Page,,,,,,,,,Page 1,
2,Rectangle,Geometric Shapes,1,,,,,,,,
3,MinimalTextBlock,Standard,1,,,,,,,224px,
4,User Image,User Images,1,,,,,,,,
5,User Image,User Images,1,,,,,,,,
6,User Image,User Images,1,,,,,,,,
7,User Image,User Images,1,,,,,,,,
8,User Image,User Images,1,,,,,,,,
9,User Image,User Images,1,,,,,,,,
10,User Image,User Images,1,,,,,,,,
11,User Image,User Images,1,,,,,,,,
12,User Image,User Images,1,,,,,,,,
13,MinimalTextBlock,Standard,1,,,,,,,224px,
14,Process,Flowchart Shapes,1,,,,,,,nn( ),
15,Terminator,Flowchart Shapes,1,,,,,,,stdout,
16,MinimalTextBlock,Standard,1,,,,,,,224px,
17,MinimalTextBlock,Standard,1,,,,,,,224px,
18,MinimalTextBlock,Standard,1,,,,,,,28px,
19,MinimalTextBlock,Standard,1,,,,,,,28px,
20,MinimalTextBlock,Standard,1,,,,,,,1080px,
21,MinimalTextBlock,Standard,1,,,,,,,1920px,
22,Text,Standard,1,,,,,,,sdxnet,
23,Text,Standard,1,,,,,,,sink,
24,Text,Standard,1,,,,,,,src,
25,Line,,1,,,4,5,None,Arrow,,
26,Line,,1,,,5,6,None,Arrow,,videocrop
27,Line,,1,,,6,2,None,Arrow,videoscale,
28,Line,,1,,,7,8,None,Arrow,,
29,Line,,1,,,8,9,None,Arrow,,
30,Line,,1,,,9,14,None,Arrow,,
31,Line,,1,,,14,15,None,Arrow,,
32,Line,,1,,,10,11,None,Arrow,videobox,
33,Line,,1,,,11,12,None,Arrow,HDMI,
34,Line,,1,,,23,7,None,Arrow,,
35,Line,,1,,,7,24,None,Arrow,,
36,Line,,1,,,24,10,None,Arrow,videoscale,